District,Season,Rice Category,Rice Area,Rice Production,Rice Yield,Area Unit,Production Unit,Yield Unit,Source Document,Source URL,Page Number,Table Number,Verification Status,Directly Reported or Calculated,Verification Notes
Mianwali,2021-22,Basmati,5260,13140,2498,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Mianwali,2021-22,Total Rice,5260,13140,2498,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Mianwali,2022-23,Total Rice,3240,8470,2614,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Multan,2020-21,Basmati,26300,54500,2072,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Multan,2020-21,Non-Basmati,2020,5400,2669,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Multan,2020-21,Total Rice,28320,59900,2115,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Multan,2021-22,Basmati,24690,47040,1906,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Multan,2021-22,Non-Basmati,9710,26640,2743,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Multan,2021-22,Total Rice,34400,73680,2142,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Multan,2022-23,Total Rice,29950,68740,2295,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Muzaffargarh,2020-21,Basmati,34400,64400,1872,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Muzaffargarh,2020-21,Non-Basmati,12140,25900,2133,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Muzaffargarh,2020-21,Total Rice,46540,90300,1940,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Muzaffargarh,2021-22,Basmati,26710,48830,1829,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Muzaffargarh,2021-22,Non-Basmati,14570,36210,2486,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Muzaffargarh,2021-22,Total Rice,41280,85040,2060,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Muzaffargarh,2022-23,Total Rice,28330,60780,2145,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Nankana Sahib,2020-21,Basmati,93890,218300,2325,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Nankana Sahib,2020-21,Non-Basmati,15380,36500,2373,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Nankana Sahib,2020-21,Total Rice,109270,254800,2332,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Nankana Sahib,2021-22,Basmati,90240,214890,2381,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Nankana Sahib,2021-22,Non-Basmati,23470,58600,2497,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Nankana Sahib,2021-22,Total Rice,113710,273490,2405,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Nankana Sahib,2022-23,Total Rice,108050,267280,2474,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Narowal,2020-21,Basmati,72840,140100,1924,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Narowal,2020-21,Non-Basmati,1220,2800,2306,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Narowal,2020-21,Total Rice,74060,142900,1930,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Narowal,2021-22,Basmati,71220,113620,1595,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Narowal,2021-22,Non-Basmati,810,1930,2385,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Narowal,2021-22,Total Rice,72030,115550,1604,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Narowal,2022-23,Total Rice,76000,584890,7696,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Okara,2020-21,Basmati,120600,282500,2343,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Okara,2020-21,Non-Basmati,34400,113500,3299,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Okara,2020-21,Total Rice,155000,396000,2555,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Okara,2021-22,Basmati,92670,216920,2341,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Okara,2021-22,Non-Basmati,63940,244440,3823,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Okara,2021-22,Total Rice,156610,461360,2946,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Okara,2022-23,Total Rice,126260,349420,2767,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Pakpattan,2020-21,Basmati,85790,201000,2343,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Pakpattan,2020-21,Non-Basmati,2430,7800,3212,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Pakpattan,2020-21,Total Rice,88220,208800,2367,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Pakpattan,2021-22,Basmati,73650,169330,2299,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Pakpattan,2021-22,Non-Basmati,31560,87300,2766,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Pakpattan,2021-22,Total Rice,105210,256630,2439,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Pakpattan,2022-23,Total Rice,82000,218060,2659,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Rahim Yar Khan,2020-21,Basmati,32380,62600,1933,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Rahim Yar Khan,2020-21,Total Rice,32380,62600,1933,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Rahim Yar Khan,2021-22,Basmati,43710,86080,1970,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Rahim Yar Khan,2021-22,Non-Basmati,410,1100,2718,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Rahim Yar Khan,2021-22,Total Rice,44120,87180,1976,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Rahim Yar Khan,2022-23,Total Rice,28320,56100,1981,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Rajanpur,2020-21,Basmati,8100,21500,2657,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Rajanpur,2020-21,Non-Basmati,16590,37100,2236,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Rajanpur,2020-21,Total Rice,24690,58600,2373,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Rajanpur,2021-22,Basmati,1210,2410,1985,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Rajanpur,2021-22,Non-Basmati,40060,115280,2877,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Non-Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
Rajanpur,2021-22,Total Rice,41270,117690,2852,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Calculated,"Total = Basmati + Non-Basmati as printed for this district-season; yield = production*1000/area (kg/ha), calculated here rather than copying the book's own printed TOTAL yield line, so the arithmetic is independently checkable."
Rajanpur,2022-23,Total Rice,16190,31410,1940,hectares,tonnes,kg/hectare,"Govt. of Pakistan, Ministry of National Food Security & Research (Economic Wing) - Crops Area & Production (District Wise) 2022-23",https://mnfsr.gov.pk/SiteImage/Downloads/Crops%20Area%20AND%20Production%20by%202022-23.pdf,4-6,Table No. 2 - Rice,Verified,Calculated,District-wise Total Rice area & production as printed in the federal MNFSR District-Wise publication (source line in that document: data supplied by the provincial Crop Reporting Services). Yield calculated as production*1000/area (kg/ha); not printed in this source.
Sahiwal,2020-21,Basmati,43300,95200,2198,hectares,tonnes,kg/hectare,"Punjab Agriculture Department, Crop Reporting Service (CRS) - Kharif Crops Estimates 2021-22",http://www.amis.pk/Agristatistics/DistrictWise/District%20Wise%20Crop%20data%202021-22%20(1).pdf,6-10,Rice Crop (Final Estimate),Verified,Directly Reported,District-wise Basmati rice area/production/yield as printed in the CRS Kharif Estimates 2021-22 data book (rice section).
